vlLocX,vlLocY,descLanduse,descUnit,vlCadmium,vlCobalt,vlChromium,vlNickel,vlLead,vlZinc,status,rankCadmium,rankCobalt,rankChromium,rankNickel,rankPb,rankZn,descAnomalyZn
2.465,4.003,campo,argoviano,0.325,3.192,21.4,4.72,24.64,35.08,,0.07,0.03,0.11,0.01,0.03,0.06,normal
2.595,3.638,campo,quaternario,0.325,3.712,14.52,4.76,44.4,40.8,,0.07,0.06,0.01,0.01,0.46,0.09,normal
2.456,3.99,campo,argoviano,0.35,3.272,26.32,4.92,27.68,37.16,,0.08,0.04,0.2,0.02,0.07,0.06,normal
2.278,0.929,campo,argoviano,0.357,4.08,19.36,6.56,35.4,46.8,,0.08,0.11,0.07,0.06,0.22,0.16,normal
2.832,3.676,campo,quaternario,0.36,6.68,26.12,11.8,18.96,28.92,,0.09,0.26,0.19,0.21,0.0,0.02,normal
2.461,3.423,lavoura,quaternario,0.37,3.14,22.6,6.08,29.36,47.2,bad,0.09,0.03,0.13,0.05,0.08,0.18,normal
0.626,1.652,floresta,kimmeridgiano,0.375,7.28,33.32,14.4,37.12,46.4,,0.1,0.29,0.44,0.26,0.29,0.15,normal
2.827,3.667,campo,quaternario,0.4,4.68,20.52,6.68,21.48,25.2,,0.1,0.16,0.1,0.07,0.01,0.0,normal
3.046,1.205,campo,sequaniano,0.4,11.16,21.64,13.36,32.76,44.0,,0.1,0.63,0.11,0.24,0.13,0.12,normal
2.633,3.65,campo,quaternario,0.425,3.092,22.12,5.04,50.4,61.6,,0.11,0.02,0.12,0.02,0.58,0.35,normal
2.837,3.679,campo,quaternario,0.425,5.08,22.72,8.0,22.56,31.48,,0.11,0.18,0.14,0.1,0.02,0.03,normal
2.083,1.695,floresta,kimmeridgiano,0.44,6.0,29.28,16.68,56.4,54.8,,0.12,0.22,0.31,0.33,0.68,0.25,normal
3.009,4.738,campo,argoviano,0.45,3.536,25.64,10.0,34.0,39.4,,0.12,0.05,0.18,0.15,0.16,0.08,normal
3.033,4.384,campo,quaternario,0.455,2.368,19.24,7.08,38.36,37.88,,0.12,0.01,0.07,0.07,0.34,0.07,normal
1.879,1.171,campo,argoviano,0.465,4.0,24.64,9.16,54.8,44.4,,0.13,0.1,0.16,0.14,0.66,0.14,normal
2.731,3.002,floresta,kimmeridgiano,0.485,9.0,27.32,20.92,32.44,57.96,,0.13,0.41,0.23,0.52,0.12,0.29,normal
3.53,4.999,floresta,argoviano,0.49,7.44,34.52,16.76,31.64,56.8,,0.14,0.3,0.49,0.34,0.11,0.28,normal
4.081,0.897,campo,quaternario,0.495,11.2,22.4,10.92,32.76,50.4,,0.14,0.64,0.13,0.18,0.13,0.2,normal
2.325,4.143,campo,argoviano,0.505,5.48,34.0,10.92,33.24,54.4,,0.14,0.2,0.48,0.18,0.15,0.25,normal
2.402,3.979,campo,argoviano,0.515,4.08,30.12,8.2,26.96,43.2,,0.15,0.11,0.34,0.11,0.05,0.1,normal
2.008,1.35,campo,argoviano,0.515,5.0,32.56,8.96,35.04,50.4,,0.15,0.17,0.4,0.14,0.21,0.2,normal
1.651,1.157,lavoura,argoviano,0.525,3.88,20.84,8.36,46.4,49.6,,0.16,0.09,0.1,0.12,0.51,0.2,normal
2.656,2.656,campo,kimmeridgiano,0.525,12.52,26.12,18.0,138.56,91.48,,0.16,0.8,0.19,0.4,0.98,0.78,normal
2.882,3.693,campo,quaternario,0.535,4.6,20.8,5.4,27.04,32.92,,0.16,0.16,0.1,0.04,0.06,0.05,normal
2.34,4.141,campo,argoviano,0.54,5.48,35.72,10.6,36.88,53.2,,0.17,0.2,0.53,0.17,0.28,0.23,normal
3.573,3.542,campo,quaternario,0.55,9.56,26.6,16.0,77.2,76.0,,0.17,0.45,0.21,0.3,0.86,0.55,normal
3.894,3.805,campo,quaternario,0.552,14.32,29.0,20.12,91.2,79.2,,0.18,0.94,0.29,0.47,0.94,0.61,normal
4.84,1.089,pastagem,kimmeridgiano,0.555,10.28,27.64,19.6,36.52,64.8,,0.18,0.54,0.25,0.44,0.25,0.39,normal
2.978,4.009,campo,quaternario,0.56,6.52,24.4,12.4,25.4,49.2,,0.18,0.24,0.16,0.22,0.03,0.19,normal
2.267,4.189,campo,argoviano,0.56,6.64,35.12,11.12,39.64,57.2,,0.18,0.25,0.51,0.19,0.36,0.28,normal
4.325,1.436,campo,quaternario,0.56,11.6,26.92,13.72,36.76,57.2,,0.18,0.67,0.22,0.25,0.27,0.28,normal
2.612,4.114,campo,argoviano,0.57,4.88,27.32,7.44,58.4,47.6,,0.2,0.17,0.23,0.09,0.72,0.18,normal
2.254,3.045,campo,sequaniano,0.575,9.68,27.12,13.2,54.28,66.92,,0.2,0.47,0.22,0.23,0.66,0.44,normal
2.319,4.103,campo,argoviano,0.58,5.48,36.0,10.92,34.88,50.4,,0.2,0.2,0.55,0.18,0.2,0.2,normal
1.72,1.833,campo,sequaniano,0.585,11.6,31.68,15.96,50.0,76.8,,0.21,0.67,0.39,0.29,0.57,0.57,normal
1.587,1.08,campo,argoviano,0.605,5.16,29.28,11.44,54.0,54.0,,0.21,0.19,0.31,0.2,0.66,0.24,normal
2.286,3.068,campo,sequaniano,0.605,9.68,27.32,12.8,56.6,67.16,,0.21,0.47,0.23,0.23,0.7,0.44,normal
3.031,1.201,campo,sequaniano,0.61,6.44,21.84,10.36,52.56,51.24,,0.22,0.24,0.12,0.16,0.64,0.22,normal
2.341,4.135,campo,argoviano,0.62,5.32,31.0,10.8,42.0,46.8,,0.22,0.19,0.36,0.17,0.41,0.16,normal
3.648,3.78,campo,kimmeridgiano,0.62,14.16,28.56,24.44,63.2,78.0,,0.22,0.92,0.28,0.7,0.76,0.59,normal
3.043,4.692,campo,argoviano,0.625,3.536,25.2,11.32,29.92,31.32,,0.23,0.05,0.17,0.2,0.1,0.02,normal
3.347,2.505,floresta,kimmeridgiano,0.625,6.96,33.2,19.2,41.2,43.6,,0.23,0.27,0.44,0.42,0.38,0.11,normal
1.709,1.843,campo,sequaniano,0.625,12.08,33.32,16.88,41.6,75.6,,0.23,0.75,0.44,0.34,0.39,0.54,normal
3.04,4.713,campo,argoviano,0.63,3.668,23.96,9.36,26.0,36.64,,0.24,0.06,0.16,0.15,0.04,0.06,normal
3.044,1.123,campo,sequaniano,0.63,12.0,31.28,18.68,38.24,80.76,,0.24,0.74,0.38,0.41,0.33,0.63,normal
3.109,4.729,campo,argoviano,0.645,3.124,22.68,8.88,28.56,42.4,,0.25,0.02,0.14,0.13,0.07,0.1,normal
3.699,3.8,campo,kimmeridgiano,0.65,11.6,27.44,19.28,80.8,74.0,,0.26,0.67,0.24,0.43,0.9,0.51,normal
2.04,3.153,campo,argoviano,0.655,5.0,16.56,8.24,41.88,51.24,,0.26,0.17,0.03,0.12,0.41,0.22,normal
3.184,5.075,campo,sequaniano,0.685,7.08,33.76,16.32,23.68,53.6,,0.26,0.28,0.47,0.32,0.02,0.24,normal
1.738,1.771,campo,sequaniano,0.685,11.92,33.64,16.24,41.6,76.0,,0.26,0.72,0.46,0.32,0.39,0.55,normal
1.701,1.169,campo,argoviano,0.69,4.24,23.48,9.04,52.4,45.6,,0.27,0.12,0.15,0.14,0.62,0.15,normal
4.745,1.372,campo,kimmeridgiano,0.69,11.96,35.64,23.68,34.12,66.4,,0.27,0.74,0.53,0.67,0.18,0.43,normal
2.243,3.031,campo,sequaniano,0.705,11.8,29.92,14.6,34.0,59.88,,0.28,0.7,0.34,0.26,0.16,0.33,normal
3.465,1.393,campo,sequaniano,0.705,12.52,28.72,17.6,86.68,96.6,,0.28,0.8,0.28,0.38,0.92,0.81,normal
4.788,1.647,campo,kimmeridgiano,0.72,8.8,34.08,26.72,32.68,63.2,,0.29,0.39,0.48,0.81,0.13,0.37,normal
2.242,3.036,campo,sequaniano,0.725,10.32,26.32,12.72,34.08,56.72,,0.29,0.54,0.2,0.22,0.17,0.27,normal
4.252,3.292,campo,kimmeridgiano,0.733,11.8,26.0,22.24,65.6,74.0,,0.3,0.7,0.19,0.6,0.8,0.51,normal
2.31,2.732,pastagem,kimmeridgiano,0.735,12.72,39.0,23.24,39.2,79.04,,0.3,0.83,0.66,0.65,0.36,0.61,normal
1.706,1.165,campo,argoviano,0.74,4.36,20.4,8.68,60.8,62.4,,0.3,0.14,0.09,0.12,0.75,0.36,normal
3.332,4.628,pastagem,quaternario,0.74,4.52,35.92,17.2,59.2,83.2,,0.3,0.14,0.54,0.35,0.74,0.67,normal
3.811,1.318,campo,kimmeridgiano,0.75,12.6,36.2,26.6,39.8,80.8,,0.31,0.81,0.56,0.8,0.36,0.64,normal
3.085,1.214,campo,sequaniano,0.765,7.68,18.52,11.28,68.4,86.2,,0.32,0.31,0.05,0.19,0.82,0.72,normal
3.647,3.786,campo,kimmeridgiano,0.765,13.84,29.72,20.96,70.8,90.8,,0.32,0.91,0.33,0.53,0.84,0.78,normal
2.22,2.732,pastagem,kimmeridgiano,0.77,12.28,43.48,23.88,44.4,62.28,bad,0.32,0.77,0.78,0.68,0.46,0.36,normal
4.75,1.369,campo,kimmeridgiano,0.775,11.96,35.6,23.76,32.92,70.8,,0.33,0.74,0.52,0.67,0.14,0.46,normal
4.383,2.279,floresta,kimmeridgiano,0.785,7.84,35.92,22.72,43.6,60.8,,0.33,0.32,0.54,0.62,0.44,0.34,normal
1.071,1.567,pastagem,sequaniano,0.795,9.96,29.08,15.28,37.48,65.6,,0.34,0.51,0.3,0.28,0.3,0.42,normal
2.933,0.978,pastagem,sequaniano,0.8,12.4,31.44,16.0,146.8,100.4,,0.34,0.78,0.38,0.3,0.98,0.84,normal
4.426,0.821,pastagem,kimmeridgiano,0.805,13.0,48.32,26.0,27.2,61.6,,0.34,0.86,0.89,0.76,0.06,0.35,normal
2.901,4.919,floresta,argoviano,0.81,4.64,28.6,14.92,28.8,42.0,,0.35,0.16,0.28,0.27,0.08,0.1,normal
4.781,1.375,campo,kimmeridgiano,0.81,10.88,27.44,20.84,36.28,58.8,,0.35,0.61,0.24,0.52,0.24,0.3,normal
4.333,1.455,campo,quaternario,0.82,10.32,29.8,16.72,63.2,67.6,,0.36,0.54,0.33,0.34,0.76,0.44,normal
4.279,3.283,campo,kimmeridgiano,0.83,13.36,33.6,24.64,36.36,84.4,,0.36,0.88,0.46,0.72,0.24,0.7,normal
1.619,2.883,campo,sequaniano,0.84,6.8,30.56,16.08,50.4,58.8,,0.36,0.26,0.36,0.3,0.58,0.3,normal
4.283,3.278,campo,kimmeridgiano,0.844,13.88,37.12,26.48,34.68,90.0,,0.37,0.92,0.57,0.79,0.2,0.75,normal
3.617,2.084,campo,kimmeridgiano,0.845,12.8,33.72,26.2,78.8,79.6,,0.37,0.84,0.47,0.77,0.88,0.62,normal
3.605,5.345,campo,sequaniano,0.849,9.04,29.48,17.56,35.0,58.0,,0.38,0.42,0.32,0.37,0.2,0.3,normal
3.925,3.779,campo,quaternario,0.855,14.24,29.2,21.0,29.68,59.6,,0.38,0.94,0.3,0.53,0.09,0.32,normal
3.919,3.466,campo,quaternario,0.86,9.76,28.4,17.48,28.6,58.8,,0.38,0.49,0.27,0.36,0.08,0.3,normal
4.742,1.381,campo,kimmeridgiano,0.86,11.88,32.72,23.48,32.84,63.6,,0.38,0.71,0.42,0.66,0.14,0.38,normal
4.502,1.167,campo,quaternario,0.86,12.12,28.4,20.12,37.08,61.6,,0.38,0.76,0.27,0.47,0.28,0.35,normal
3.661,3.788,campo,kimmeridgiano,0.875,14.64,28.88,20.8,69.6,76.4,,0.4,0.96,0.29,0.51,0.83,0.56,normal
2.916,4.916,floresta,argoviano,0.885,6.28,27.92,13.88,37.16,46.8,,0.4,0.23,0.26,0.25,0.29,0.16,normal
3.675,4.293,pastagem,sequaniano,0.89,8.6,37.68,22.96,26.76,66.0,,0.4,0.38,0.59,0.64,0.04,0.43,normal
3.925,3.785,campo,quaternario,0.894,15.08,30.52,21.76,60.0,72.4,,0.41,0.97,0.35,0.56,0.75,0.49,normal
1.965,2.807,campo,sequaniano,0.895,12.6,41.6,24.16,89.68,102.44,,0.41,0.81,0.73,0.7,0.93,0.86,normal
3.422,2.851,campo,sequaniano,0.9,9.52,38.72,26.2,70.4,94.8,,0.42,0.45,0.64,0.77,0.84,0.8,normal
1.662,1.425,campo,sequaniano,0.905,11.24,37.4,16.56,82.0,78.4,,0.42,0.65,0.58,0.33,0.91,0.59,normal
1.301,0.599,lavoura,sequaniano,0.91,13.24,32.84,18.0,64.8,75.2,,0.42,0.87,0.43,0.4,0.78,0.53,normal
3.644,2.677,floresta,kimmeridgiano,0.93,9.56,37.4,23.12,51.2,56.4,,0.43,0.45,0.58,0.64,0.6,0.26,normal
1.346,1.954,pastagem,sequaniano,0.93,10.56,39.04,20.24,38.12,69.2,,0.43,0.57,0.66,0.48,0.32,0.45,normal
3.271,2.16,campo,quaternario,0.945,13.32,37.8,32.6,59.04,104.36,,0.44,0.88,0.6,0.95,0.73,0.87,normal
3.733,0.974,campo,kimmeridgiano,0.95,8.92,40.8,26.52,36.6,74.0,,0.44,0.4,0.72,0.8,0.26,0.51,normal
4.331,1.449,campo,quaternario,0.95,12.0,29.2,18.72,37.88,61.2,,0.44,0.74,0.3,0.41,0.32,0.34,normal
4.475,3.526,lavoura,kimmeridgiano,0.951,15.28,29.24,20.36,78.8,70.8,,0.45,0.98,0.31,0.49,0.88,0.46,normal
4.59,1.414,campo,kimmeridgiano,0.96,11.72,35.2,21.92,30.76,64.8,,0.45,0.69,0.52,0.57,0.1,0.39,normal
3.316,2.987,campo,quaternario,0.975,14.6,33.0,23.6,48.8,83.2,,0.46,0.96,0.44,0.66,0.55,0.67,normal
3.312,2.991,campo,quaternario,0.98,12.52,32.6,19.4,41.6,72.8,,0.46,0.8,0.41,0.44,0.39,0.5,normal
2.553,3.314,campo,sequaniano,0.99,8.8,38.72,15.72,38.0,60.12,,0.46,0.39,0.64,0.29,0.32,0.34,normal
3.498,3.196,pastagem,kimmeridgiano,0.99,15.12,32.8,22.92,36.24,65.6,,0.46,0.97,0.42,0.63,0.23,0.42,normal
3.798,2.694,floresta,kimmeridgiano,0.995,9.68,32.8,19.12,51.2,54.0,,0.47,0.47,0.42,0.42,0.6,0.24,normal
1.813,2.116,campo,sequaniano,1.003,11.32,33.48,20.56,48.8,110.0,,0.48,0.66,0.45,0.5,0.55,0.9,normal
3.673,4.278,pastagem,sequaniano,1.015,9.28,44.0,19.28,34.0,70.4,,0.48,0.44,0.8,0.43,0.16,0.45,normal
4.232,1.588,floresta,kimmeridgiano,1.025,8.84,28.32,17.4,52.8,47.6,,0.48,0.4,0.26,0.36,0.64,0.18,normal
1.392,1.846,campo,sequaniano,1.05,10.6,39.24,20.0,37.68,48.4,,0.49,0.58,0.67,0.46,0.3,0.19,normal
3.649,3.887,campo,kimmeridgiano,1.06,11.48,41.6,29.24,51.2,80.8,,0.49,0.66,0.73,0.9,0.6,0.64,normal
3.308,2.963,campo,quaternario,1.06,17.32,36.0,23.92,50.0,78.4,,0.49,0.99,0.55,0.68,0.57,0.59,normal
3.454,4.654,pastagem,quaternario,1.07,7.8,38.24,19.92,29.88,70.8,,0.5,0.32,0.62,0.46,0.09,0.46,normal
3.768,2.675,floresta,kimmeridgiano,1.095,12.12,41.32,28.8,46.8,56.8,,0.5,0.76,0.73,0.89,0.51,0.28,normal
4.156,1.242,pastagem,portlandiano,1.1,7.84,32.2,17.92,32.48,44.0,,0.51,0.32,0.4,0.39,0.12,0.12,normal
3.136,2.091,campo,kimmeridgiano,1.11,14.2,34.8,30.32,38.72,79.0,,0.51,0.93,0.49,0.92,0.35,0.6,normal
2.234,2.737,pastagem,kimmeridgiano,1.11,14.6,39.28,24.44,47.8,71.12,,0.51,0.96,0.68,0.7,0.53,0.47,normal
1.706,1.848,campo,sequaniano,1.12,11.92,34.84,19.96,41.2,83.2,,0.52,0.72,0.5,0.46,0.38,0.67,normal
2.906,4.922,floresta,argoviano,1.13,4.32,20.32,13.2,21.6,32.84,,0.52,0.13,0.08,0.23,0.01,0.04,normal
3.244,4.519,campo,quaternario,1.145,3.508,40.4,22.04,72.4,75.2,,0.53,0.04,0.7,0.59,0.85,0.53,normal
1.122,2.267,campo,kimmeridgiano,1.145,11.08,37.08,31.56,47.6,74.4,,0.53,0.62,0.57,0.94,0.52,0.52,normal
1.354,1.966,pastagem,sequaniano,1.165,10.72,43.6,24.0,38.32,59.6,,0.54,0.58,0.8,0.69,0.34,0.32,normal
2.224,2.728,pastagem,kimmeridgiano,1.205,13.8,46.84,27.44,41.04,85.52,,0.54,0.91,0.87,0.84,0.38,0.7,normal
0.971,1.576,campo,sequaniano,1.215,10.08,29.28,15.2,35.64,64.0,,0.54,0.52,0.31,0.28,0.22,0.38,normal
3.303,3.963,campo,sequaniano,1.22,11.0,34.04,20.32,80.8,90.0,,0.55,0.62,0.48,0.48,0.9,0.75,normal
1.047,1.922,pastagem,sequaniano,1.24,14.2,43.6,22.52,52.0,83.2,,0.55,0.93,0.8,0.61,0.61,0.67,normal
1.511,0.734,pastagem,argoviano,1.245,7.84,47.2,21.96,64.4,71.2,,0.56,0.32,0.88,0.58,0.78,0.48,normal
3.331,4.609,campo,quaternario,1.255,7.0,42.8,25.44,80.4,101.6,,0.56,0.27,0.76,0.74,0.89,0.84,normal
2.54,3.32,campo,sequaniano,1.26,9.76,45.32,17.6,53.6,62.8,,0.56,0.49,0.84,0.38,0.65,0.37,normal
1.106,1.548,pastagem,sequaniano,1.27,9.16,52.8,19.44,65.2,65.2,,0.57,0.43,0.95,0.44,0.79,0.4,normal
4.113,2.7,floresta,kimmeridgiano,1.285,1.552,8.72,7.16,84.4,65.2,,0.57,0.0,0.0,0.08,0.92,0.4,normal
2.219,2.774,pastagem,kimmeridgiano,1.3,13.04,32.48,31.52,56.52,71.76,,0.58,0.86,0.4,0.94,0.7,0.49,normal
4.578,1.512,campo,kimmeridgiano,1.305,13.52,45.52,27.2,38.96,77.6,,0.58,0.9,0.84,0.83,0.35,0.58,normal
2.544,1.972,pastagem,kimmeridgiano,1.335,10.0,40.2,29.72,77.88,73.56,,0.58,0.51,0.7,0.91,0.87,0.5,normal
3.322,3.001,campo,quaternario,1.34,14.32,35.0,23.12,44.4,81.2,,0.59,0.94,0.5,0.64,0.46,0.65,normal
2.85,1.89,floresta,kimmeridgiano,1.36,2.816,10.76,7.08,53.6,28.88,,0.59,0.02,0.01,0.07,0.65,0.01,normal
3.792,2.707,floresta,kimmeridgiano,1.38,8.16,26.92,17.12,45.6,55.2,,0.6,0.35,0.22,0.35,0.49,0.26,normal
4.576,1.411,campo,kimmeridgiano,1.38,11.28,37.6,25.76,34.44,71.6,,0.6,0.66,0.59,0.75,0.18,0.48,normal
4.61,3.315,floresta,kimmeridgiano,1.384,12.68,30.76,20.72,48.0,46.8,,0.6,0.83,0.36,0.51,0.54,0.16,normal
3.656,2.63,floresta,kimmeridgiano,1.385,2.072,9.72,5.36,80.4,49.2,,0.61,0.0,0.0,0.04,0.89,0.19,normal
1.317,1.501,campo,quaternario,1.385,6.44,42.8,19.64,66.4,94.8,,0.61,0.24,0.76,0.45,0.81,0.8,normal
2.327,2.417,campo,quaternario,1.385,9.68,39.72,22.6,116.48,123.0,,0.61,0.47,0.69,0.62,0.96,0.92,normal
2.965,1.002,pastagem,sequaniano,1.39,10.36,45.6,24.6,129.2,149.2,,0.62,0.56,0.85,0.72,0.97,0.99,high_anomaly
2.333,2.367,campo,quaternario,1.39,12.36,42.12,28.2,101.92,135.88,,0.62,0.78,0.74,0.85,0.95,0.96,normal
4.571,1.407,campo,kimmeridgiano,1.4,10.72,38.64,26.4,38.4,70.8,,0.63,0.58,0.64,0.78,0.34,0.46,normal
2.333,2.417,campo,quaternario,1.435,9.12,37.44,21.32,107.6,110.32,,0.63,0.42,0.58,0.54,0.96,0.9,normal
1.443,1.509,campo,quaternario,1.445,7.76,61.2,20.68,50.8,75.6,,0.64,0.31,0.99,0.5,0.59,0.54,normal
3.962,2.009,campo,kimmeridgiano,1.445,12.4,43.52,34.4,78.4,104.4,,0.64,0.78,0.79,0.96,0.88,0.87,normal
1.241,1.155,floresta,argoviano,1.455,4.52,20.2,12.68,36.52,39.6,,0.64,0.14,0.08,0.22,0.25,0.08,normal
1.114,1.535,pastagem,sequaniano,1.48,9.12,58.8,26.16,226.4,140.4,,0.65,0.42,0.98,0.77,1.0,0.97,normal
1.468,2.192,pastagem,sequaniano,1.51,10.92,57.6,30.68,44.4,80.4,,0.65,0.61,0.97,0.93,0.46,0.63,normal
4.423,1.078,campo,quaternario,1.525,16.92,38.6,26.8,46.8,87.6,,0.66,0.99,0.64,0.82,0.51,0.73,normal
4.412,1.088,campo,quaternario,1.53,17.72,39.52,26.4,47.6,80.8,,0.66,1.0,0.68,0.78,0.52,0.64,normal
3.792,2.695,floresta,kimmeridgiano,1.535,6.76,20.32,13.4,55.2,52.4,,0.66,0.26,0.08,0.24,0.67,0.23,normal
3.887,1.663,campo,kimmeridgiano,1.535,15.2,40.72,32.4,56.8,85.6,,0.66,0.98,0.72,0.95,0.71,0.71,normal
2.58,2.311,pastagem,kimmeridgiano,1.555,8.84,40.16,23.92,51.24,77.56,,0.67,0.4,0.7,0.68,0.61,0.58,normal
3.152,3.272,campo,kimmeridgiano,1.56,12.8,42.6,23.52,76.4,94.0,,0.68,0.84,0.75,0.66,0.86,0.8,normal
1.543,2.537,campo,kimmeridgiano,1.563,10.4,45.2,28.72,52.4,104.0,,0.68,0.56,0.82,0.88,0.62,0.86,normal
4.383,1.081,campo,quaternario,1.565,16.32,38.52,26.2,66.4,88.4,,0.68,0.98,0.63,0.77,0.81,0.73,normal
3.917,3.773,campo,quaternario,1.568,13.56,30.36,22.28,43.6,71.6,,0.69,0.9,0.35,0.6,0.44,0.48,normal
2.159,2.041,campo,kimmeridgiano,1.57,10.44,37.72,28.32,49.6,81.6,,0.69,0.56,0.6,0.86,0.56,0.66,normal
3.185,2.092,campo,kimmeridgiano,1.575,11.2,35.72,35.0,43.68,90.68,,0.7,0.64,0.53,0.97,0.45,0.77,normal
0.701,1.997,floresta,sequaniano,1.58,12.6,60.8,32.2,64.8,86.0,,0.7,0.81,0.98,0.94,0.78,0.71,normal
2.235,2.386,campo,quaternario,1.585,12.44,40.56,25.08,88.68,114.28,,0.7,0.79,0.71,0.74,0.93,0.91,normal
1.433,1.525,campo,quaternario,1.605,7.36,67.6,16.2,49.6,75.2,,0.71,0.3,1.0,0.31,0.56,0.53,normal
3.692,2.43,floresta,kimmeridgiano,1.61,5.0,19.4,8.76,42.8,31.16,,0.71,0.17,0.08,0.13,0.43,0.02,normal
2.807,3.347,pastagem,sequaniano,1.61,10.6,47.0,21.4,30.8,64.8,,0.71,0.58,0.87,0.54,0.1,0.39,normal
2.561,1.984,pastagem,kimmeridgiano,1.63,13.56,51.36,42.92,63.16,77.4,,0.72,0.9,0.92,1.0,0.76,0.57,normal
4.189,3.045,campo,portlandiano,1.645,8.08,46.4,20.32,67.6,90.4,,0.72,0.34,0.86,0.48,0.82,0.77,normal
2.538,3.314,campo,sequaniano,1.655,8.96,50.6,17.32,90.36,81.6,,0.73,0.41,0.91,0.36,0.94,0.66,normal
3.39,1.048,pastagem,kimmeridgiano,1.66,10.12,42.92,29.32,57.28,123.32,,0.73,0.52,0.77,0.9,0.72,0.93,normal
2.908,1.263,campo,argoviano,1.685,9.84,31.28,14.72,34.56,84.32,,0.74,0.5,0.38,0.26,0.19,0.7,normal
2.319,2.405,campo,quaternario,1.71,12.84,43.4,26.96,104.68,125.4,,0.74,0.84,0.78,0.82,0.95,0.94,normal
3.117,1.702,campo,kimmeridgiano,1.71,14.12,42.8,35.0,58.6,106.36,,0.74,0.92,0.76,0.97,0.73,0.88,normal
1.439,1.523,campo,quaternario,1.72,7.24,54.8,16.52,52.4,75.6,,0.75,0.28,0.96,0.32,0.62,0.54,normal
2.386,3.077,campo,sequaniano,1.74,9.32,38.32,21.32,77.36,92.56,bad,0.75,0.44,0.62,0.54,0.86,0.8,normal
4.55,1.416,campo,kimmeridgiano,1.74,12.4,44.32,27.72,41.6,73.6,,0.75,0.78,0.81,0.84,0.39,0.5,normal
4.409,1.084,campo,quaternario,1.77,17.32,37.72,27.0,48.8,89.2,,0.76,0.99,0.6,0.82,0.55,0.74,normal
1.69,1.858,campo,sequaniano,1.775,12.96,38.72,22.36,54.8,91.6,,0.76,0.86,0.64,0.61,0.66,0.79,normal
3.649,2.674,floresta,kimmeridgiano,1.785,7.44,23.72,17.72,58.4,58.0,bad,0.77,0.3,0.15,0.39,0.72,0.3,normal
2.504,1.965,pastagem,kimmeridgiano,1.79,10.44,41.84,25.64,62.36,80.32,,0.77,0.56,0.74,0.75,0.76,0.62,normal
3.26,5.42,campo,kimmeridgiano,1.819,11.72,38.04,28.6,35.8,82.4,,0.78,0.69,0.62,0.87,0.23,0.67,normal
3.043,4.698,campo,argoviano,1.82,3.924,27.36,10.44,27.04,39.8,,0.78,0.1,0.24,0.16,0.06,0.08,normal
